Jour,Phrase,Position,Score
18,J'en profite pour vous dire que je suis très heureux de vous voir tout le monde ensemble.,POSITIVE,0.9645966291427612
18,Je pense que ça va faire du bien.,POSITIVE,0.964765727519989
18,Heureux de vous retrouver aussi.,POSITIVE,0.900390625
18,"Et certains diraient même excité, mais il est peut-être un peu trop tôt pour en juger.",NEGATIVE,0.9219387173652649
18,"Heureux de vous retrouver, les collègues également autour de la table, les gens qui accompagnent le ministre et les gens qui accompagnent le président.",POSITIVE,0.942308247089386
18,Ceci étant dit que nous sommes avec lui.,POSITIVE,0.9158768057823181
18,"Il n'y a pas un rayon de soleil qui passe entre nos deux ni une feuille de papier, M. le Président.",NEGATIVE,0.9258697032928467
18,Tout à fait.,POSITIVE,0.9654862284660339
18,Elle est partie.,NEGATIVE,0.9241070747375488
18,Elle est partie.,NEGATIVE,0.9241070747375488
18,Ah bon!,NEGATIVE,0.9885798096656799
18,"Bien, moi aussi, moi aussi.",POSITIVE,0.9274168610572815
18,Mais là je ne saurais pas vous dire.,NEGATIVE,0.9726794958114624
18,"Puis consentement ouvert pour la journée, là, on est rendus... O.K.",NEGATIVE,0.9867159128189087
18,"Dans le fond, ça existait déjà.",NEGATIVE,0.9202911853790283
18,"On parle ici de demandes, donc, abusives par le nombre, caractère répétitif, systématique.",NEGATIVE,0.9858027696609497
18,"Ça, c'est bien.",POSITIVE,0.9035224914550781
18,Mais je ne vois rien dans la loi qui oblige la commission à le faire.,NEGATIVE,0.9524129033088684
18,Ils ne le sont pas.,NEGATIVE,0.9509565234184265
18,"Consentement, M. le Président, qu'ils soient rendus publics, absolument.",POSITIVE,0.90285724401474
18,"Lorsque la demande est faite, je peux comprendre, mais lorsque le délai est, effectivement, prolongé… Lorsque… bien, lorsque le délai… lorsque la demande est accordée, il n'y a pas de notification qui est faite au requérant.",NEGATIVE,0.9693788290023804
18,"Il n'y a pas de notification qui est faite, alors qu'est-ce que… Non.",NEGATIVE,0.9820597171783447
18,Il s'agirait juste d'ajouter ça.,NEGATIVE,0.9197130799293518
18,"Histoire de se… Parfait, merci.",POSITIVE,0.9212291836738586
18,C'est beau.,POSITIVE,0.9617891907691956
18,"Non, non, non, O.K.",NEGATIVE,0.9623235464096069
18,"Outre les plexiglas, là, c'est presque normal, là.",NEGATIVE,0.9609781503677368
18,"Ça, ça existe déjà dans les tribunaux civils, là, on parlait du plaideur quérulent, là.",NEGATIVE,0.9126182198524475
18,"Non, non, non.",NEGATIVE,0.9973886609077454
18,Les autres...,NEGATIVE,0.9233664870262146
18,On va à la vitesse du plus lent.,NEGATIVE,0.9744491577148438
18,"Si des efforts raisonnables ont été faits pour rejoindre les parties, là, à un moment donné, là, je ne sais pas, y a-tu une obligation, là?",NEGATIVE,0.9165096282958984
18,Mais là ça va... Vous ne ferez pas l'économie d'un autre débat pour dire : O.K.,NEGATIVE,0.9072778820991516
18,"Moi, j'ai l'impression, là...",NEGATIVE,0.947737991809845
18,… Pardon?,NEGATIVE,0.9406732320785522
18,"Non, les parties.",NEGATIVE,0.9122918248176575
18,"boy, ça, c'est ma grande force, la mémoire.",POSITIVE,0.9399012923240662
18,"Sur le fond, là, les… C'est ça.",NEGATIVE,0.9374953508377075
18,"Non, mais le droit administratif, c'est complexe en... c'est aride, extra sec.",NEGATIVE,0.9214277267456055
18,"Mais je n'ai rien contre, mais, si on le dit, ça va être plaidé puis ça va être final.",NEGATIVE,0.9733253121376038
18,"Pour la surveillance, là.",NEGATIVE,0.9311538934707642
18,On suspend jusqu'à demain.,NEGATIVE,0.9221382737159729
18,Puis on ne va pas ouvrir...,NEGATIVE,0.9441689848899841
18,Puis c'est correct.,NEGATIVE,0.9331516623497009
18,"Moi, je vis bien avec ça.",POSITIVE,0.9319301247596741
18,C'est du papier à musique.,NEGATIVE,0.9650323987007141
18,"Puis quand elle dit tout autre moyen comme tantôt, alors, ce n'est pas...",NEGATIVE,0.9478752613067627
18,On n'a pas dit notification à 58.,NEGATIVE,0.9298413991928101
18,"On aurait pu, mais on ne l'a pas fait.",NEGATIVE,0.9980077147483826
18,"Alors, je vais vivre très bien avec ça parce que c'est...",POSITIVE,0.9499155282974243
18,"Je ne vois pas bien, là, en quoi… Une ordonnance de la Commission d'accès à l'information te dit de faire quelque chose.",NEGATIVE,0.982415497303009
18,"Préjudice sérieux et irréparable, ça, c'est correct.",NEGATIVE,0.921987771987915
18,"Mais le motif… c'est comme si tu m'avais dit, là : Motif météorologique.",NEGATIVE,0.90488600730896
18,"ça ne me tente pas, je ne veux pas, regarde, je m'en vais en appel.",NEGATIVE,0.9975916147232056
18,Ça fait que le motif d'urgence visait à permettre que l'ordonnance soit appliquée avant le délai de 30 jours.,NEGATIVE,0.9446475505828857
18,Puis là c'est 30 jours avant qu'elle soit exécutoire... O.K.,NEGATIVE,0.991575300693512
18,"bien là, j'ai gagné, mais 10 jours, c'est épouvantable.",NEGATIVE,0.99702388048172
18,Je ne suis pas sûr qu'on veuille allez là.,NEGATIVE,0.9579362869262695
18,Je ne suis pas sûr qu'on veuille allez là.,NEGATIVE,0.9579362869262695
18,"Bien, la juridiction va se limiter à modifier le délai d'exécution du jugement, de l'ordonnance.",NEGATIVE,0.9103507399559021
18,Il peut juste agir sur vraiment le délai d'exécution.,NEGATIVE,0.9225286245346069
18,"Mais si le but, c'est de le prolonger, il suffit de déposer un appel, puis ça va être… …va être suspendu.",NEGATIVE,0.9496567845344543
18,"Je ne pense pas, à moins que vous me détrompiez, là.",NEGATIVE,0.9173220992088318
18,"…c'est… sur le délai, là.",NEGATIVE,0.9717317223548889
18,"Là, je comprends pourquoi «urgence» a une pertinence, mais ça veut donc dire qu'il peut réduire les délais.",NEGATIVE,0.9049060940742493
18,"...que de dire : Là, on vient de boucler la boucle.",NEGATIVE,0.9149622321128845
18,Ça me fait du bien.,POSITIVE,0.9852064251899719
18,"Adopté, merci.",POSITIVE,0.9803613424301147
18,"Adopté, merci.",POSITIVE,0.9803613424301147
18,"Non, non, ça a été assez discret.",NEGATIVE,0.9488368630409241
18,En fait...,NEGATIVE,0.9061141610145569
18,Elles font un travail remarquable.,POSITIVE,0.9599997997283936
18,On ne refera pas le débat ici.,NEGATIVE,0.9621525406837463
18,C'est correct.,NEGATIVE,0.9439950585365295
18,"Pas à ma connaissance, pas à ma connaissance.",NEGATIVE,0.9948535561561584
18,"Ils n'ont pas été jouer là, O.K.",NEGATIVE,0.9332104325294495
18,"Pas à ma connaissance, pas à ma connaissance.",NEGATIVE,0.9948535561561584
18,Ils sont… Ils n'ont pas été jouer là.,NEGATIVE,0.972775399684906
18,"En fait, selon les modalités de la demande d'inscription, c'est assez administratif, là.",NEGATIVE,0.9410224556922913
18,"Oui, oui, oui.",POSITIVE,0.9149108529090881
18,Je vais juste aller voir plus loin.,NEGATIVE,0.9487504959106445
18,"Je lance déjà la question, mais on ne le fera pas là, on le fera à 151.",NEGATIVE,0.928570568561554
18,"Oui, oui, oui.",POSITIVE,0.9149108529090881
18,"Ou c'est comme un dépanneur : Moi, ce matin, je décide de vendre de la gomme balloune, il n'y a pas personne qui va me donner une autorisation, là.",NEGATIVE,0.9477595090866089
18,… Juste pour ma simple gouverne.,NEGATIVE,0.9410155415534973
18,"Câline, c'est le loup dans la bergerie, ou le renard dans le poulailler, là, je n'ai plus d'autre exemple, là.",NEGATIVE,0.9064172506332397
