Jour,Phrase,Position,Score
1,"Ceci étant dit, je veux saluer les collègues, collègues de la partie gouvernementale, les collègues de l'opposition, et réitérer cet adage : Jamais deux sans trois, en espérant que cette responsabilité qui m'incombe maintenant, M. le Président, saura trouver un écho dans l'univers numérique.",POSITIVE,0.9374873638153076
1,"Les récents événements que nous avons vécus au Québec et, je vous dirais, même partout sur la planète nous ramènent à cette réalité du numérique.",POSITIVE,0.951482355594635
1,"Je souhaite que nous fassions ce débat-là dans une perspective de protection des renseignements personnels, mais en tenant compte du fait que l'univers numérique est l'univers dans lequel ces renseignements-là, pour la grande majorité et dans un futur prévisible, auront à être conservés.",POSITIVE,0.94281405210495
1,"Dire aussi, M. le Président, un principe qui m'apparaît être extrêmement important, à savoir que le gouvernement du Québec est engagé dans une transformation numérique.",POSITIVE,0.963346004486084
1,"Et, bien que l'enjeu de protéger les renseignements personnels me préoccupe, l'enjeu de réussir une transformation numérique au bénéfice de nos citoyens dans une perspective de service, dans une perspective d'efficacité de l'administration publique, et, si la pandémie nous enseigne quelque chose, c'est que cette transformation numérique là, elle est extrêmement nécessaire, bien, cet enjeu-là, il faut aussi l'avoir en tête quand on va parler du traitement et de l'utilisation des renseignements de façon plus large, mais aussi inclut les renseignements personnels.",POSITIVE,0.9893215894699097
1,"Ceci étant dit, je pense aussi, M. le Président, que cette loi-là avait besoin d'être modernisée, et donc, là-dessus, je veux saluer le travail qui a été fait par ma collègue qui est actuellement présidente du Conseil du trésor et mon collègue ministre de la Justice dans le fait qu'ils ont porté un projet de loi qui, je pense, répond à beaucoup des enjeux auxquels on est confrontés maintenant.",POSITIVE,0.9596127271652222
1,"J'aborde cette étude article par article dans un esprit de collaboration, avec, évidemment, les principes et la vision que je veux apporter à ce projet de loi, soit une vision qui est peut-être moins juridique et un peu plus technologique, mais je pense que cette vision-là, elle est nécessaire.",POSITIVE,0.980558454990387
1,"Et je vais être extrêmement ouvert aux commentaires, aux suggestions des collègues, parce qu'après tout c'est une loi qui est fondamentale, en fait, quasi constitutionnelle, M. le Président.",POSITIVE,0.9829204678535461
1,"Et j'espère, M. le Président, que ces travaux-là nous trouveront dans un esprit de collaboration, mais surtout, surtout, qu'à la fin nous aurons doté le Québec d'une loi propre à protéger les renseignements personnels des Québécois tout en permettant l'innovation, tout en permettant la transformation numérique, tout en permettant d'embrasser l'univers numérique de la façon qu'il convient.",POSITIVE,0.9473727941513062
1,20 minutes.,NEGATIVE,0.9611480236053467
1,Je pense que vous avez acquis le respect des collègues autour de la table puis vous avez une autorité qui fait en sorte que nos travaux s'en ressentent de façon très positive.,POSITIVE,0.9706997871398926
1,C'est réellement apprécié.,POSITIVE,0.9515225887298584
1,"Saluer les collègues également qui accompagnent le ministre, l'adjoint parlementaire du ministre de la Justice, qui est là aujourd'hui, alors je le salue, et les personnes qui accompagnent le ministre, de son cabinet et du ministère également.",POSITIVE,0.9461102485656738
1,"M. le Président, si je résume la tâche qui est devant nous puis le principal écueil, je vais résumer ça bien simple, je trouve que, dans le projet de loi, on fait trop de copier-coller sur trois sphères de protection nécessaires pour le Québec.",NEGATIVE,0.9750295281410217
1,"Et l'information, M. le Président, dans le domaine privé, dans la sphère privée, fait partie, il faut que les entreprises le voient comme ça, puis j'ai eu l'occasion, durant les auditions, de questionner certains groupes, fait partie de la valeur de l'entreprise.",POSITIVE,0.9672235250473022
1,"C'est quoi, un renseignement personnel?",NEGATIVE,0.9100344181060791
1,"Puis là il y avait comme une chaîne de procession, c'était réellement, là... théoriquement, là, on s'excitait, tout le monde, là-dessus, M. le Président, mais, avec les années, avec les années, avec les années, la loi, force est de constater, est une coquille vide.",NEGATIVE,0.9779781103134155
1,"Puis je ne suis pas en train de dire... je ne suis pas en train d'essayer de dénigrer notre institution puis les collègues qui ont travaillé, à l'époque, sur la loi, mais force est de constater qu'ils ont raté la cible.",NEGATIVE,0.9819234013557434
1,"Selon l'entente, on va laisser... on va suspendre quelques instants pour permettre aux... ...",NEGATIVE,0.9252432584762573
1,"O.K., c'est beau, parfait.",POSITIVE,0.9076462984085083
1,On veut me couper la parole.,NEGATIVE,0.9369251132011414
1,On veut me bâillonner.,NEGATIVE,0.924906849861145
1,"C'était une stratégie du gouvernement, ça commençait trop fort, puis là j'ai tout perdu mon fil, puis je vais arrêter, je vais laisser 11 minutes sur la table.",NEGATIVE,0.9892306923866272
1,"On a passé des heures, et des heures, et des heures.",NEGATIVE,0.9289576411247253
1,"Quand on parlera de la Loi concernant le cadre juridique des technologies de l'information, on verra que cette loi-là a raté sa cible.",NEGATIVE,0.9917252063751221
1,"En théorie, c'est bien beau, mais, dans les faits, cette loi-là n'est pas appliquée, n'est même pas plaidée devant les tribunaux.",NEGATIVE,0.9976784586906433
1,"Et, quand vous faites une législation citée, cette loi-là n'apparaît, à toutes fins pratiques, presque jamais, jamais, jamais.",NEGATIVE,0.9121952056884766
1,Elle n'a pas pris...,NEGATIVE,0.9910730719566345
