jour,metrique,valeur
1,nombre de suspensions,0
1,votes par consentement,0
1,votes par mise aux voix,0
1,amendements adoptés,0
1,amendements rejetés,0
1,nombre d'intervenants,0
1,interventions secrétaire,0
1,interventions fonctionnaire,0
1,interventions ministre,0
1,interventions gouvernement,0
1,interventions opposition,0
1,interventions présidence,0
1,interventions PLQ,0
1,interventions QS,0
1,interventions PQ,0
1,nombre de suspensions,0
1,votes par consentement,0
1,votes par mise aux voix,0
1,amendements adoptés,0
1,amendements rejetés,0
1,nombre d'intervenants,4
1,interventions secrétaire,1
1,interventions fonctionnaire,0
1,interventions ministre,1
1,interventions gouvernement,0
1,interventions opposition,0
1,interventions présidence,2
1,interventions PLQ,0
1,interventions QS,0
1,interventions PQ,0
1,nombre de suspensions,0
1,votes par consentement,0
1,votes par mise aux voix,0
1,amendements adoptés,0
1,amendements rejetés,0
1,nombre d'intervenants,6
1,interventions secrétaire,0
1,interventions fonctionnaire,0
1,interventions ministre,0
1,interventions gouvernement,0
1,interventions opposition,3
1,interventions présidence,3
1,interventions PLQ,3
1,interventions QS,0
1,interventions PQ,0
1,nombre de suspensions,0
1,votes par consentement,0
1,votes par mise aux voix,0
1,amendements adoptés,0
1,amendements rejetés,0
1,nombre d'intervenants,1
1,interventions secrétaire,0
1,interventions fonctionnaire,0
1,interventions ministre,0
1,interventions gouvernement,0
1,interventions opposition,1
1,interventions présidence,0
1,interventions PLQ,1
1,interventions QS,0
1,interventions PQ,0
1,nombre de suspensions,1
1,votes par consentement,0
1,votes par mise aux voix,0
1,amendements adoptés,0
1,amendements rejetés,0
1,nombre d'intervenants,1
1,interventions secrétaire,0
1,interventions fonctionnaire,0
1,interventions ministre,0
1,interventions gouvernement,0
1,interventions opposition,0
1,interventions présidence,1
1,interventions PLQ,0
1,interventions QS,0
1,interventions PQ,0
1,nombre de suspensions,0
1,votes par consentement,0
1,votes par mise aux voix,0
1,amendements adoptés,0
1,amendements rejetés,0
1,nombre d'intervenants,0
1,interventions secrétaire,0
1,interventions fonctionnaire,0
1,interventions ministre,0
1,interventions gouvernement,0
1,interventions opposition,0
1,interventions présidence,0
1,interventions PLQ,0
1,interventions QS,0
1,interventions PQ,0
1,nombre de suspensions,0
1,votes par consentement,0
1,votes par mise aux voix,0
1,amendements adoptés,0
1,amendements rejetés,0
1,nombre d'intervenants,4
1,interventions secrétaire,0
1,interventions fonctionnaire,0
1,interventions ministre,0
1,interventions gouvernement,0
1,interventions opposition,1
1,interventions présidence,3
1,interventions PLQ,0
1,interventions QS,0
1,interventions PQ,1
1,nombre de suspensions,0
1,votes par consentement,0
1,votes par mise aux voix,0
1,amendements adoptés,0
1,amendements rejetés,0
1,nombre d'intervenants,2
1,interventions secrétaire,0
1,interventions fonctionnaire,0
1,interventions ministre,0
1,interventions gouvernement,0
