Jour,Phrase,Position,Score
20,"O.K., parfait.",POSITIVE,0.9079214930534363
20,"Désolé, excusez.",NEGATIVE,0.9739162921905518
20,"Bien, vous saluer, saluer le ministre, saluer le collègue de Chapleau, les autres collègues également autour de la table, saluer particulièrement, donc, le collègue de Chapleau, qui, ce matin, comme adjoint parlementaire, met en pratique ce qui devrait être vu plus souvent dans notre Parlement, notre Assemblée nationale, savoir plus de rôles actifs de l'adjoint parlementaire, on le souhaite.",POSITIVE,0.972886323928833
20,"Alors, bravo, je pense que c'est important.",POSITIVE,0.9551272988319397
20,"En tout cas, je referme la parenthèse.",NEGATIVE,0.9828559756278992
20,"Tout à fait, c'est exactement ça.",POSITIVE,0.9473294615745544
20,"C'est bien correct, c'est ça qu'on veut, mais il faut juste donner des balises pour dire : Le terrain, il s'arrête là.",NEGATIVE,0.9167581796646118
20,"On va l'occuper, après le 36, il y a le 37, puis... dans le secteur.",NEGATIVE,0.9072889089584351
20,"Il y a aussi toute la notion de consentement implicite dans cet appel, et donc la personne qui répond donne, en fait, son consentement.",POSITIVE,0.9246066212654114
20,"Là, on a ajouté l'exclusion des articles... Non, là, je reviens à mon 23.",NEGATIVE,0.9626575112342834
20,"Donc, article 23 ne s'applique pas.",NEGATIVE,0.985161542892456
20,"Donc, je n'en suis pas certain, je ne pourrais pas vous le garantir.",NEGATIVE,0.9025572538375854
20,C'est important.,POSITIVE,0.9556128978729248
20,"Il y a un flou ici, là.",NEGATIVE,0.919331967830658
20,"Donc, je peux bien garder en vie l'article 1, qui dit plein, plein de choses fondamentales, mais, dans le… le particulier bat toujours le général.",NEGATIVE,0.9794425368309021
20,… Pardon?,NEGATIVE,0.9406732320785522
20,"Ça, on les exclut.",NEGATIVE,0.9758034944534302
20,"Jusqu'à la fin, donc.",NEGATIVE,0.946930468082428
20,"Bien, ça pourrait être une option, parce qu'en fait, en excluant le droit d'accès au complet, bien, évidemment on perd le recours, parce qu'on n'a pas le droit d'accès.",NEGATIVE,0.9413297176361084
20,"Puis, si l'association de comté de LaFontaine fait une coche mal taillée, ça relève… Là, qu'est-ce qu'on veut dire ici?",NEGATIVE,0.9954054355621338
20,"Pour l'instant, non, mais on pourra peut-être y revenir.",NEGATIVE,0.9710221886634827
20,"Ici, dans le fond, l'intention du législateur est clairement de ne pas… du jour au lendemain de la mise en vigueur de la loi, de ne pas dire à un parti politique : Bien, tu organisais une université d'été, tu organisais un congrès, tu organisais des colloques de réflexion, par interprétation de la loi, du jour au lendemain, tu ne peux plus faire ça.",NEGATIVE,0.9362808465957642
20,Tout à fait.,POSITIVE,0.9654862284660339
20,Tout à fait.,POSITIVE,0.9654862284660339
20,"Adopté, donc.",POSITIVE,0.9532533884048462
20,Je regarde mes notes...,NEGATIVE,0.9116970300674438
20,C'est correct.,NEGATIVE,0.9439950585365295
20,C'est vraiment de la concordance.,POSITIVE,0.9294447898864746
20,"Est-ce que le fameux article, j'oublie le numéro, là, où on disait… on a fait un amendement pour la capacité de payer de l'entreprise, là, j'imagine… … Pardon?",NEGATIVE,0.9062581062316895
20,"Oui, oui, oui.",POSITIVE,0.9149108529090881
20,On a abrogé quoi?,NEGATIVE,0.9682620763778687
20,Attendez un petit peu.,NEGATIVE,0.9031364917755127
20,"Ça fait que, grosso modo, c'est un changement d'emplacement, là.",NEGATIVE,0.9375015497207642
20,Ce qu'on vient de faire tantôt.,NEGATIVE,0.9158483147621155
20,Mais qu'est-ce qu'on vient faire à l'article 93?,NEGATIVE,0.9649372696876526
20,Il était suspendu.,NEGATIVE,0.9396018981933594
20,"Oui, avec plaisir, pour le bénéfice de tous.",POSITIVE,0.9383020401000977
20,"On pourrait peut-être juste prendre quelques minutes, puis ce qu'on pourrait faire, on pourrait peut-être juste passer rapidement puis dire : Ça, c'est quoi?",NEGATIVE,0.9899712800979614
20,"Ça, c'est quoi?",NEGATIVE,0.9764081835746765
20,"Alors... Bien, ça me va, ça me va parfaitement.",POSITIVE,0.9082202315330505
20,"Même moi, je le lisais puis je n'étais pas...",NEGATIVE,0.9472633600234985
20,"Tout ça, là.",NEGATIVE,0.965856671333313
20,"Et là le premier paragraphe, lui, c'est à la sanction.",NEGATIVE,0.9550569653511047
20,"De toute façon, ça va être sur le décret du ministère des Finances.",NEGATIVE,0.911414384841919
20,"C'était quoi, ça?",NEGATIVE,0.9476016163825989
20,Les deux vice-présidences aux deux tiers puis c'est ça...,NEGATIVE,0.902172863483429
20,"Ça ne change rien, ça?",NEGATIVE,0.9740378856658936
20,"Non, non.",NEGATIVE,0.9974422454833984
20,"Là, c'est juste la nouvelle mouture qu'on leur donne un an pour se revirer de bord autrement dit.",NEGATIVE,0.9746413826942444
20,"...la sensibilisation, demandes péremptoires, plaideurs quérulents.",NEGATIVE,0.9884059429168701
20,C'était quoi déjà?,NEGATIVE,0.9557449817657471
20,"Oui, oui, oui.",POSITIVE,0.9149108529090881
20,"Excusez-moi, je reviens là-dessus.",NEGATIVE,0.9599024057388306
20,"Dans le fond, il y en a juste deux qui rentreraient en vigueur...",NEGATIVE,0.9199567437171936
20,"Dans le fond, il y aurait la... ...les SAP, ça rentre en vigueur... Non, il y en a juste deux.",NEGATIVE,0.9399614334106445
20,"Oui, oui, oui.",POSITIVE,0.9149108529090881
20,Ça serait plus urgent.,NEGATIVE,0.9396286606788635
20,"En fait, là, j'ai commis une erreur.",NEGATIVE,0.9573202729225159
20,C'est correct.,NEGATIVE,0.9439950585365295
20,"Puis, là, on fait juste un petit saut, parce que, là...",NEGATIVE,0.9416313767433167
20,"À partir de ça, c'est pour ça qu'il y a un an de plus.",NEGATIVE,0.941245436668396
20,"C'est quoi, ça, «portabilité»?",NEGATIVE,0.9386489391326904
20,"L'article 27, qui entre en vigueur dans la mesure où il édicte... Ça, c'est celui qu'on a reporté.",NEGATIVE,0.9098413586616516
20,"Puis, tu sais, ça veut dire aussi être capable de faire le recensement de tout ce que je possède, donc de s'organiser et d'organiser les systèmes, d'être capable de faire la trace de tout ce que j'ai.",POSITIVE,0.9105984568595886
20,"moi, je ne veux plus répondre de ça, ça, ça.",NEGATIVE,0.962945818901062
20,On ne peut pas...,NEGATIVE,0.9463180303573608
20,"Adopté, merci beaucoup.",POSITIVE,0.9875774383544922
20,"Mais, chose certaine, je pense que foncièrement c'est un pas, un très grand pas dans la bonne direction.",POSITIVE,0.9437685012817383
20,"Heureux d'avoir pu, à plusieurs occasions, voir l'ouverture du ministre à des idées, des suggestions.",POSITIVE,0.9162781238555908
20,"bien là, il y a du temps qui est perdu.",NEGATIVE,0.9966191053390503
